Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

2022
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10   86  175  157  148   67   67   50   89  134  177  157   82
 12   59  135  126  120   97  106  114  139  147  178  169  105
 15  -63   57   66   88  114  132  143  148  152  182  182  122
 20 -331 -271 -262 -122   79  128  142  147  172  177  176  124
 25 -317 -334 -335 -336 -123   69  129  141  170  158  152  124
 30 -293 -292 -298 -295 -281    5   99  129  166  151  147  137
 35 -252 -247 -259 -266 -302 -166   23   99  144  143  134  132
 40 -198 -188 -216 -241 -275 -273 -102   37  114  138  130  110
 45 -106 -109 -141 -201 -230 -278 -237  -27   78  123  122  101
 50  -45  -41  -52 -126 -194 -231 -256 -103   41  107  125  107
 60   33   28   31   -8  -76 -137 -201 -211 -104   42   83   82
 70   51   65   33   37  -14  -82 -143 -157 -124  -43   24   47
 80   45   55   38   21  -39  -66 -101 -124  -80  -73   -4   23
 90  -18    8   16  -11  -84 -109 -106 -151  -48 -101 -102  -64
100  -99 -106  -30  -43 -106 -136 -140 -172 -101 -219 -155 -150
