Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

2023
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10   -8 -102 -188 -243 -298 -326 -335 -348 -331 
 12    4   -1  -54 -233 -301 -316 -330 -330 -334 
 15   46   54   53 -119 -272 -297 -314 -330 -333 
 20   95   95  117   95 -132 -271 -298 -305 -333 
 25  117  104  130  147   47 -157 -250 -271 -295 
 30  128   96  116  150  109    7 -141 -171 -232 
 35  110   77  122  159  125   89   24  -20 -102 
 40  101   87  137  161  132  120   85   37   -7 
 45   99   91  128  153  123  126   99   72   44 
 50   87   77  121  140  121  143  109   84   73 
 60   53   27   82  105  102  140  119   87  106 
 70   26    7    3   28   59  117  132   85  115 
 80   33   26  -14   -4  -16   55  114   84  108 
 90  -24   19  -47  -10  -87    3   90   51   62 
100 -207  -64  -33   -8 -117  -48   16  -32   -5 
