Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

2023
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10   -8 -102 -188 -243 -298 -326 -335 -348 -331 -333 -129 
 12    4   -1  -54 -233 -301 -316 -330 -330 -334 -331 -321 
 15   46   54   53 -119 -272 -297 -314 -330 -333 -347 -358 
 20   95   95  117   95 -132 -271 -298 -305 -333 -330 -332 
 25  117  104  130  147   47 -157 -250 -271 -295 -309 -302 
 30  128   96  116  150  109    7 -141 -171 -232 -258 -266 
 35  110   77  122  159  125   89   24  -20 -102 -173 -245 
 40  101   87  137  161  132  120   85   37   -7  -89 -188 
 45   99   91  128  153  123  126   99   72   44    7 -107 
 50   87   77  121  140  121  143  109   84   73   67   -8 
 60   53   27   82  105  102  140  119   87  106   84   63 
 70   26    7    3   28   59  117  132   85  115   94   87 
 80   33   26  -14   -4  -16   55  114   84  108   76   61 
 90  -24   19  -47  -10  -87    3   90   51   62   49   13 
100 -207  -64  -33   -8 -117  -48   16  -32   -5   11  -23 
