Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

2024
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10   72   87  127  110  123   63    5   62   44    2 -161 -233
 12    0   43  112  111  114   99   77   66   59   53  -76 -241
 15 -280 -129   53  113  128   98  100   70   81   85   -1 -108
 20 -305 -316 -224    7  100   92  104  103  114  110   98   64
 25 -283 -290 -314 -143   64  105   99  111  124  131  121   98
 30 -269 -268 -283 -273   21  101   96  111  123  136  131  104
 35 -259 -246 -269 -295 -109   48   82   86  123  137  117   99
 40 -239 -233 -255 -275 -231  -27   53   78  125  138  118   98
 45 -214 -206 -215 -239 -258 -137   13   55  115  133  116  100
 50 -175 -173 -157 -196 -229 -228  -37   45  115  124  118   99
 60  -25  -52  -42 -117 -144 -181 -166  -48   74  110  131   84
 70   47  -42    8  -93 -124 -111 -166  -73   24   72  111   31
 80   39  -55  -16  -67 -102 -123 -127 -117  -15   29   55    9
 90   30  -49  -41  -49  -99 -159 -112 -118  -54    7  -38  -23
100  -23  -29  -46  -32 -119 -174 -152 -121 -154  -70 -111 -158
